SampleID	Genus	Species	Site
Muricat_M_muricata_sorted	Muricea	M.muricata	SAI
V1_M_elongata_sorted	Muricea	M.elongata	SAI
V2_M_elongata_sorted	Muricea	M.elongata	SAI
G1_M_elongata_sorted	Muricea	M.elongata	SAI
G3_M_elongata_sorted	Muricea	M.elongata	SAI
G4_M_elongata_sorted	Muricea	M.elongata	SAI
G5_M_elongata_sorted	Muricea	M.elongata	SAI
G6_M_elongata_sorted	Muricea	M.elongata	SAI
M102_M_muricata_sorted	Muricea	M.muricata	SAI
M104_M_muricata_sorted	Muricea	M.muricata	SAI
M105_M_muricata_sorted	Muricea	M.muricata	SAI
M108_M_muricata_rep_sorted	Muricea	M.muricata	SAI
M108_M_muricata_sorted	Muricea	M.muricata	SAI
M109_M_muricata_sorted	Muricea	M.muricata	SAI
MLP143_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
MLP144_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
MLP146_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
MLP147_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
MLP150_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
MLP154_M_fruticosa_sorted	Muricea	M.fruticosa	MALPELO
727_M_pendula_sorted	Muricea	M.pendula	GULF
731_M_pendula_sorted	Muricea	M.pendula	GULF
732_M_pendula_sorted	Muricea	M.pendula	GULF
850_M_pendula_sorted	Muricea	M.pendula	GULF
852_M_pendula_sorted	Muricea	M.pendula	GULF
854_M_pendula_sorted	Muricea	M.pendula	GULF
856_M_pendula_sorted	Muricea	M.pendula	GULF
857_M_pendula_sorted	Muricea	M.pendula	GULF
902_M_pendula_sorted	Muricea	M.pendula	GULF
ECU004_M_plantag_sorted	Muricea	M.plantag	ECUADOR
ECU005_M_californica_sorted	Muricea	M.californica	ECUADOR
ECU007_M_purpurea_sorted	Muricea	M.purpurea	ECUADOR
ECU016_M_purpurea_sorted	Muricea	M.purpurea	ECUADOR
ECU018_M_purpurea_sorted	Muricea	M.purpurea	ECUADOR
ECU019_M_austera_sorted	Muricea	M.austera	ECUADOR
ECU021_M_purpurea_sorted	Muricea	M.purpurea	ECUADOR
ECU022_M_hebes_sorted	Muricea	M.hebes	ECUADOR
ECU25_M_fruticosa_sorted	Muricea	M.fruticosa	ECUADOR
ECU026_M_austera_sorted	Muricea	M.austera	ECUADOR
ECU030_M_fruticosa_sorted	Muricea	M.fruticosa	ECUADOR
ECU031_M_fruticosa_sorted	Muricea	M.fruticosa	ECUADOR
ECU034_M_austera_sorted	Muricea	M.austera	ECUADOR
ECU035_M_californ_sorted	Muricea	M.californ	ECUADOR
ECU041_M_squarro_sorted	Muricea	M.squarro	ECUADOR
ECU044_M_squarro_sorted	Muricea	M.squarro	ECUADOR
ECU046_M_squarro_sorted	Muricea	M.squarro	ECUADOR
ECU048_M_squarro_sorted	Muricea	M.squarro	ECUADOR
ECU049_M_californica_sorted	Muricea	M.californica	ECUADOR
ECU050_M_californica_sorted	Muricea	M.californica	ECUADOR
ECU056_M_fruticosa_sorted	Muricea	M.fruticosa	ECUADOR
ECU065_M_fruticosa_sorted	Muricea	M.fruticosa	ECUADOR
ECU069_M_plantag_sorted	Muricea	M.plantag	ECUADOR
ECU070_M_squarro_sorted	Muricea	M.squarro	ECUADOR
ECU072_M_californica_sorted	Muricea	M.californica	ECUADOR
ECU073_M_echinata_sorted	Muricea	M.echinata	ECUADOR
ECU076_Muricea_sp_sorted	Muricea	Muricea.sp	ECUADOR
ECU077_Muricea_sp_sorted	Muricea	Muricea.sp	ECUADOR
ECU079_M_echinata_sorted	Muricea	M.echinata	ECUADOR
ECU080_M_echinata_sorted	Muricea	M.echinata	ECUADOR
ECU082_Muricea_sp_sorted	Muricea	Muricea.sp	ECUADOR
ECU083_M_echinata_sorted	Muricea	M.echinata	ECUADOR
ECU085_M_echinata_sorted	Muricea	M.echinata	ECUADOR
ECU089_Muricea_sp_sorted	Muricea	Muricea.sp	ECUADOR
ECU109_M_robusta_sorted	Muricea	M.robusta	ECUADOR
ECU111_M_californica_sorted	Muricea	M.californica	ECUADOR
ECU116_M_crassa_sorted	Muricea	M.crassa	ECUADOR
ECU117_M_crassa_sorted	Muricea	M.crassa	ECUADOR
ECU118_M_crassa_sorted	Muricea	M.crassa	ECUADOR
ECU119_M_crassa_sorted	Muricea	M.crassa	ECUADOR
ECU124_M_hebes_sorted	Muricea	M.hebes	ECUADOR
SAI1712_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1727_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1728_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1729_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1831_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1832_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1833_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1835_M_muricata_sorted	Muricea	M.muricata	SAI
SAI1836_M_muricata_sorted	Muricea	M.muricata	SAI
G2_M_elongata_sorted	Muricea	M.elongata	SAI
CA1_M_elongata_sorted	Muricea	M.elongata	CARTAGENA
CA2_M_elongata_sorted	Muricea	M.elongata	CARTAGENA
CA3_M_laxa_sorted	Muricea	M.laxa	CARTAGENA
CA4_M_laxa_sorted	Muricea	M.laxa	CARTAGENA
